addr:TW:dataset,source,addr:country,addr:province,addr:city,addr:district,addr:village,addr:neighborhood,addr:street,addr:housenumber,addr:full,description,x,y
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,大溝村,1,大溝路,198,雲林縣水林鄉大溝村1鄰大溝路198號,農業設施不得設籍,169627.7,2608682.18
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,大溝村,1,大溝路,199,雲林縣水林鄉大溝村1鄰大溝路199號,農業設施不得設籍,169649.45,2608681.32
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,大溝村,1,大溝路,200,雲林縣水林鄉大溝村1鄰大溝路200號,農業設施不得設籍,169706.52,2608868
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,大溝村,1,大溝路,201,雲林縣水林鄉大溝村1鄰大溝路201號,農業設施不得設籍,169737.6,2608866.54
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,大溝村,1,大溝路,202,雲林縣水林鄉大溝村1鄰大溝路202號,農業設施不得設籍,169758.63,2608865.87
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,松中村,9,頂厝路,1之26,雲林縣水林鄉松中村9鄰頂厝路1之26號,農業設施不得設籍,172239.17,2601744.81
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,松中村,9,頂厝路,1之20,雲林縣水林鄉松中村9鄰頂厝路1之20號,農業設施不得設籍,171725.61,2601578.12
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,松北村,6,蔦松路,2之2,雲林縣水林鄉松北村6鄰蔦松路2之2號,蔦松電信局,171414.05,2602131.238
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,松北村,3,蔦松路,65之1,雲林縣水林鄉松北村3鄰蔦松路65之1號,糖廠,171551.529,2601797.013
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,水北村,6,廟前路,87,雲林縣水林鄉水北村6鄰廟前路87號,將軍廟,172530.52,2608075.09
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,水北村,6,廟前路,170,雲林縣水林鄉水北村6鄰廟前路170號,農業設施不得設籍,172457.67,2608475.46
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,水北村,13,文化路,2,雲林縣水林鄉水北村13鄰文化路2號,民眾服務站,173030.264,2607941.147
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,水北村,13,文化路,4,雲林縣水林鄉水北村13鄰文化路4號,鄉立托兒所,173022.062,2607950.407
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,水北村,13,水林路,6,雲林縣水林鄉水北村13鄰水林路6號,水燦林國小,173126.29,2607937.196
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,水北村,13,水林路,8,雲林縣水林鄉水北村13鄰水林路8號,衛生所,173068.219,2607903.002
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,水北村,13,水林路,10,雲林縣水林鄉水北村13鄰水林路10號,郵局,173049.139,2607897.711
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,水北村,14,水林路,58之1,雲林縣水林鄉水北村14鄰水林路58之1號,北港戶政事務所水林辦公室,172824.48,2607859.48
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,水北村,14,水林路,60,雲林縣水林鄉水北村14鄰水林路60號,北港分局水林分駐所,172815.2,2607890.96
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,水北村,14,水林路,62,雲林縣水林鄉水北村14鄰水林路62號,消防隊,172808.699,2607857.925
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,灣東村,9,宏仁路,31之3,雲林縣水林鄉灣東村9鄰宏仁路31之3號,農業設施不得設籍,172449.55,2611336.24
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,灣東村,10,正義南街,5之9,雲林縣水林鄉灣東村10鄰正義南街5之9號,農業設施不得設籍,172350.32,2611179.19
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,灣西村,9,文明西路,52之36,雲林縣水林鄉灣西村9鄰文明西路52之36號,農業設施不得設籍,171420.21,2611091.2
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,灣西村,9,正義西路,137之1,雲林縣水林鄉灣西村9鄰正義西路137之1號,農業設施不得設籍,171636.23,2611181.73
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,順興村,9,順興路,6之23,雲林縣水林鄉順興村9鄰順興路6之23號,農業設施不得設籍,168879.68,2605053.75
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,順興村,9,順興路,6之25,雲林縣水林鄉順興村9鄰順興路6之25號,農業設施不得設籍,168877.83,2605089.21
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,順興村,9,順興路,7之21,雲林縣水林鄉順興村9鄰順興路7之21號,農業設施不得設籍,169560.233,2606415.329
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,順興村,4,順興路,81之11,雲林縣水林鄉順興村4鄰順興路81之11號,農業設施不得設籍,168542.36,2606130.72
