addr:TW:dataset,source,addr:couontry,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x_3826,y_3826
168887,新北市政府,TW,新北市,萬里區,萬里里,013,瑪鋉頂街,40號,4,Ａ,新北市萬里區萬里里013鄰瑪鋉頂街40號Ａ四樓,319472.885818,2785741.4365600
168887,新北市政府,TW,新北市,萬里區,萬里里,013,瑪鋉頂街,40號,4,Ｂ,新北市萬里區萬里里013鄰瑪鋉頂街40號Ｂ四樓,319480.903184,2785740.7965000
168887,新北市政府,TW,新北市,萬里區,萬里里,013,瑪鋉頂街,40號,,Ａ,新北市萬里區萬里里013鄰瑪鋉頂街40號Ａ,319472.885818,2785741.4365600
168887,新北市政府,TW,新北市,萬里區,萬里里,013,瑪鋉頂街,40號,2,Ａ,新北市萬里區萬里里013鄰瑪鋉頂街40號Ａ二樓,319472.885818,2785741.4365600
168887,新北市政府,TW,新北市,萬里區,萬里里,013,瑪鋉頂街,40號,5,Ｂ,新北市萬里區萬里里013鄰瑪鋉頂街40號Ｂ五樓,319480.903184,2785740.7965000
168887,新北市政府,TW,新北市,萬里區,萬里里,013,瑪鋉頂街,40號,3,Ｂ,新北市萬里區萬里里013鄰瑪鋉頂街40號Ｂ三樓,319480.903184,2785740.7965000
168887,新北市政府,TW,新北市,萬里區,萬里里,013,瑪鋉頂街,40號,5,Ａ,新北市萬里區萬里里013鄰瑪鋉頂街40號Ａ五樓,319472.885818,2785741.4365600
168887,新北市政府,TW,新北市,萬里區,萬里里,013,瑪鋉頂街,40號,3,Ａ,新北市萬里區萬里里013鄰瑪鋉頂街40號Ａ三樓,319472.885818,2785741.4365600
168887,新北市政府,TW,新北市,萬里區,萬里里,013,瑪鋉頂街,40號,2,Ｂ,新北市萬里區萬里里013鄰瑪鋉頂街40號Ｂ二樓,319480.903184,2785740.7965000
168887,新北市政府,TW,新北市,三峽區,礁溪里,010,介壽路一段,197號,2,Ｂ,新北市三峽區礁溪里010鄰介壽路一段197號二樓Ｂ室,288190.104822,2758163.6340900
