addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x,y,addr:TW:dataset,source
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路,48號,,,澎湖縣馬公市中央里6鄰中山路48號,307639.08,2606810.529,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路,52號,,,澎湖縣馬公市中央里6鄰中山路52號,307633.014,2606812.395,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路,56號,,,澎湖縣馬公市中央里6鄰中山路56號,307615.304,2606815.325,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路,58號,,,澎湖縣馬公市中央里6鄰中山路58號,307610.2,2606811.362,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路,60號,,,澎湖縣馬公市中央里6鄰中山路60號,307598.421,2606809.838,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路,62號,,,澎湖縣馬公市中央里6鄰中山路62號,307584.873,2606811.765,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路,64號,,,澎湖縣馬公市中央里6鄰中山路64號,307580.718,2606810.876,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路,66號,,,澎湖縣馬公市中央里6鄰中山路66號,307574.06,2606811.13,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路,66號,,1,澎湖縣馬公市中央里6鄰中山路66號之1,307571.356,2606810.245,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路,68號,,,澎湖縣馬公市中央里6鄰中山路68號,307564.148,2606810.623,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中正路,1號,,,澎湖縣馬公市中央里5鄰中正路1號,307681.381,2606815.591,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,1,中正路3巷,2號,,1,澎湖縣馬公市中央里1鄰中正路3巷2號之1,307692.729,2606968.224,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,3,中正路3巷,3號,,,澎湖縣馬公市中央里3鄰中正路3巷3號,307691.805,2606961.247,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中正路,3號,,1,澎湖縣馬公市中央里5鄰中正路3號之1,307684.184,2606818.69,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中正路,3號,,2,澎湖縣馬公市中央里5鄰中正路3號之2,307683.299,2606823.781,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,1,中正路3巷,4號,,,澎湖縣馬公市中央里1鄰中正路3巷4號,307688.863,2606969.317,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,2,中正路3巷,5號,,,澎湖縣馬公市中央里2鄰中正路3巷5號,307685.164,2606962.508,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,1,中正路3巷,6號,,,澎湖縣馬公市中央里1鄰中正路3巷6號,307684.575,2606970.998,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,2,中正路3巷,7號,,,澎湖縣馬公市中央里2鄰中正路3巷7號,307680.036,2606963.6,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,1,中正路3巷,8號,,,澎湖縣馬公市中央里1鄰中正路3巷8號,307679.448,2606972.343,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,1,中正路5巷,1號,,,澎湖縣馬公市中央里1鄰中正路5巷1號,307689.678,2607000.663,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,1,中正路5巷,1號,,1,澎湖縣馬公市中央里1鄰中正路5巷1號之1,307683.253,2607003.025,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,16,中正路5巷,2號,,,澎湖縣馬公市中央里16鄰中正路5巷2號,307695.63,2607006.35,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,1,中正路5巷,3號,,,澎湖縣馬公市中央里1鄰中正路5巷3號,307679.096,2606992.539,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,1,中正路5巷,3號,,1,澎湖縣馬公市中央里1鄰中正路5巷3號之1,307684.293,2606987.72,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中正路,5號,,,澎湖縣馬公市中央里5鄰中正路5號,307684.111,2606828.873,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,15,中正路5巷,5號,,,澎湖縣馬公市中央里15鄰中正路5巷5號,307673.711,2606996.318,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,16,中正路5巷,6號,,,澎湖縣馬公市中央里16鄰中正路5巷6號,307689.67,2607008.33,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,15,中正路5巷,7號,,,澎湖縣馬公市中央里15鄰中正路5巷7號,307671.443,2607000.286,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,16,中正路5巷,8號,,,澎湖縣馬公市中央里16鄰中正路5巷8號,307685.17,2607010.05,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,15,中正路5巷,9號,,,澎湖縣馬公市中央里15鄰中正路5巷9號,307674.938,2607005.758,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,15,中正路5巷,9號,,1,澎湖縣馬公市中央里15鄰中正路5巷9號之1,307665.135,2607006.812,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,16,中正路5巷,10號,,3,澎湖縣馬公市中央里16鄰中正路5巷10號之3,307691.492,2607013.944,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,16,中正路5巷,10號,,4,澎湖縣馬公市中央里16鄰中正路5巷10號之4,307695.402,2607012.608,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,16,中正路5巷,10號,,1,澎湖縣馬公市中央里16鄰中正路5巷10號之1,307684.67,2607015.686,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,16,中正路5巷,10號,,2,澎湖縣馬公市中央里16鄰中正路5巷10號之2,307688.344,2607014.516,170852,澎湖縣政府
